source_book,recommended_book,rank,title,author,genre
B0009,B0032,1,Deadly Game Sun,o. v. vijayan,thriller
B0009,B0139,2,The Tech Voice,o. v. vijayan,technology
B0009,B0083,3,The Missing Way,o. v. vijayan,mystery
B0009,B0054,4,Unsolved Dreams,o. v. vijayan,mystery
B0009,B0094,5,The Life of Mystery,o. v. vijayan,biography
B0009,B0106,6,Unbroken Mind,o. v. vijayan,biography
B0009,BOK_210,7,The Assassin's Mark (Vol. 3),jeyamohan,thriller
B0009,BOK_265,8,Shadow in the Rain (Vol. 1),ashwin sanghi,thriller
B0009,BOK_193,9,Murder on High Street (Vol. 2),kiran desai,thriller
B0009,BOK_226,10,Murder on High Street (Vol. 3),kalki r. krishnamurthy,thriller
B0010,B0006,1,The Promise Dreams,girish karnad,romance
B0010,B0018,2,The Wizard Night,girish karnad,fantasy
B0010,B0202,3,Unsolved Way,girish karnad,mystery
B0010,B0105,4,Magic of Mystery,girish karnad,fantasy
B0010,B0114,5,The Lean Night,girish karnad,business
B0010,BOK_037,6,Murder on High Street,r.k. narayan,thriller
B0010,B0178,7,Hidden Truth Journey,kuvempu,thriller
B0010,B0152,8,The Conspiracy World,u. r. ananthamurthy,thriller
B0010,B0286,9,Dark Secrets River,u. r. ananthamurthy,thriller
B0010,BOK_064,10,Echoes of Betrayal (Vol. 1),amish tripathi,thriller
B0011,B0285,1,Shadows of World,yandamoori veerendranath,fiction
B0011,B0062,2,Echoes from Dreams,yandamoori veerendranath,fiction
B0011,B0028,3,Deadly Game Moon,yandamoori veerendranath,thriller
B0011,B0250,4,The Promise Rain,yandamoori veerendranath,romance
B0011,B0112,5,Atomic Moon,yandamoori veerendranath,self help
B0011,B0246,6,The Secret of Dusk,gudipati venkatachalam,mystery
B0011,BOK_131,7,The Mystery of Royapuram (Vol. 1),anita desai,mystery
B0011,B0168,8,The Riddle World,ramanichandran,mystery
B0011,BOK_249,9,The Nilgiri Mystery,jeyamohan,mystery
B0011,BOK_128,10,The Hidden Key,kiran desai,mystery
B0012,B0253,1,The Lean Rain,viswanatha satyanarayana,business
B0012,B0291,2,A Life in Moon,viswanatha satyanarayana,0
B0012,B0191,3,Echoes from Voice,viswanatha satyanarayana,fiction
B0012,B0148,4,Whispers of Blood,viswanatha satyanarayana,romance
B0012,B0212,5,Becoming Storm,viswanatha satyanarayana,biography
B0012,B0214,6,Echoes from Fire,viswanatha satyanarayana,fiction
B0012,B0240,7,Hidden Truth Legend,viswanatha satyanarayana,thriller
B0012,B0173,8,Unsolved River,viswanatha satyanarayana,mystery
B0012,B0064,9,Zero to One Voice,rachakonda viswanatha sastriulu,business
B0012,B0289,10,Shadows of Rain,rachakonda viswanatha sastriulu,fiction
B0013,BOK_093,1,Love in the Time of Monsoons,agatha christie,romance
B0013,BOK_276,2,A Summer in Ooty (Vol. 2),agatha christie,romance
B0013,BOK_295,3,The Mango Orchard (Vol. 3),agatha christie,fiction
B0013,B0124,4,The Secret of Dusk,agatha christie,mystery
B0013,BOK_232,5,Beyond the Horizon (Vol. 2),agatha christie,fiction
B0013,BOK_287,6,False Identity (Vol. 1),agatha christie,thriller
B0013,BOK_296,7,Terminal Vector (Vol. 2),agatha christie,thriller
B0013,B0244,8,The Life of Journey,agatha christie,biography
B0013,B0204,9,Start with Why Light,agatha christie,business
B0013,B0002,10,The Ancient Dusk,agatha christie,history
B0014,B0273,1,The Secret of Moon,pattukkottai prabhakar,mystery
B0014,B0121,2,Hidden Truth Light,pattukkottai prabhakar,thriller
B0014,B0265,3,Clues to Soul,pattukkottai prabhakar,mystery
B0014,B0249,4,Love in Mountain,pattukkottai prabhakar,romance
B0014,B0102,5,The Secret of Silence,pattukkottai prabhakar,mystery
B0014,B0157,6,Shadows in World,pattukkottai prabhakar,mystery
B0014,B0296,7,Data and Voice,pattukkottai prabhakar,technology
B0014,B0182,8,The Enchanted Voice,subha,fantasy
B0014,BOK_071,9,Prophecy of the Stars,arundhati roy,fantasy
B0014,B0210,10,The Enchanted Mind,r. k. narayan,fantasy
B0015,B0111,1,Dreams of Secret,kamala das,0
B0015,B0154,2,The Missing River,kamala das,mystery
B0015,B0233,3,The Lost Dawn,kamala das,fiction
B0015,B0038,4,Hidden Truth Heart,kamala das,thriller
B0015,B0019,5,The Silent Rain,kamala das,thriller
B0015,B0238,6,Realm of Silence,kamala das,fantasy
B0015,B0169,7,Fall of Dreams,kamala das,history
B0015,B0211,8,Habits of River,kamala das,self help
B0015,B0009,9,Dark Secrets Night,o. v. vijayan,thriller
B0015,B0139,10,The Tech Voice,o. v. vijayan,technology
B0016,B0279,1,The Last Secret,jayakanthan,fiction
B0016,B0275,2,Deadly Game Wind,jayakanthan,thriller
B0016,B0063,3,Hidden Truth Wind,jayakanthan,thriller
B0016,B0091,4,The Wizard Wind,jayakanthan,fantasy
B0016,B0295,5,Heart of Path,jayakanthan,romance
B0016,B0113,6,A Life in Gold,jayakanthan,biography
B0016,B0187,7,Future of Wind,jayakanthan,technology
B0016,B0269,8,The Making of Truth,jayakanthan,biography
B0016,B0209,9,Beyond the Fire,sandilyan,fiction
B0016,BOK_087,10,The Last Letter (Vol. 3),jeyamohan,fiction
B0017,B0024,1,Shadows of River,masti venkatesha iyengar,fiction
B0017,B0225,2,Deadly Game Story,masti venkatesha iyengar,thriller
B0017,B0132,3,The Promise Star,masti venkatesha iyengar,romance
B0017,B0198,4,The Dragon Truth,masti venkatesha iyengar,fantasy
B0017,B0117,5,Final Hour Path,masti venkatesha iyengar,thriller
B0017,B0271,6,Final Hour Heart,masti venkatesha iyengar,thriller
B0017,B0143,7,Heart of Mountain,masti venkatesha iyengar,romance
B0017,B0270,8,Heart of Fire,masti venkatesha iyengar,romance
B0017,B0236,9,The Riddle Rain,masti venkatesha iyengar,mystery
B0017,B0160,10,Chronicles of Wind,masti venkatesha iyengar,history
B0018,B0105,1,Magic of Mystery,girish karnad,fantasy
B0018,B0010,2,The Conspiracy Wind,girish karnad,thriller
B0018,B0006,3,The Promise Dreams,girish karnad,romance
B0018,B0202,4,Unsolved Way,girish karnad,mystery
B0018,B0114,5,The Lean Night,girish karnad,business
B0018,B0298,6,Magic of River,kuvempu,fantasy
B0018,BOK_074,7,The Legend of Trishanku (Vol. 1),madhavan,fantasy
B0018,BOK_144,8,The Dragon of Sahyadri (Vol. 1),r.k. narayan,fantasy
B0018,BOK_049,9,The Cursed Amulet (Vol. 1),dan brown,fantasy
B0018,BOK_182,10,Shadow of the Yeti (Vol. 1),robin sharma,fantasy
B0019,B0038,1,Hidden Truth Heart,kamala das,thriller
B0019,B0111,2,Dreams of Secret,kamala das,0
B0019,B0238,3,Realm of Silence,kamala das,fantasy
B0019,B0015,4,The Enchanted Dreams,kamala das,0
B0019,B0233,5,The Lost Dawn,kamala das,fiction
B0019,B0169,6,Fall of Dreams,kamala das,history
B0019,B0154,7,The Missing River,kamala das,mystery
B0019,B0211,8,Habits of River,kamala das,self help
B0019,BOK_210,9,The Assassin's Mark (Vol. 3),jeyamohan,thriller
B0019,B0032,10,Deadly Game Sun,o. v. vijayan,thriller
B0020,B0116,1,AI Revolution Path,paulo coelho,technology
B0020,B0098,2,Start with Why Dreams,paulo coelho,business
B0020,B0196,3,The Enchanted Rain,r. k. narayan,fantasy
B0020,B0210,4,The Enchanted Mind,r. k. narayan,fantasy
B0020,B0008,5,The Wizard Star,ashwin sanghi,fantasy
B0020,B0053,6,Realm of Story,j. k. rowling,fantasy
B0020,B0033,7,The Wizard Wind,unknown author,fantasy
B0020,BOK_208,8,The Fire Jewel,anita desai,fantasy
B0020,B0127,9,The Wizard Secret,james clear,fantasy
B0020,B0256,10,The Wizard Voice,robin sharma,fantasy
B0021,B0071,1,The Dragon River,ruskin bond,fantasy
B0021,B0203,2,Beyond the Storm,ruskin bond,fiction
B0021,BOK_278,3,Death at the Estate,ruskin bond,mystery
B0021,BOK_133,4,Behind Closed Doors (Vol. 2),ruskin bond,thriller
B0021,BOK_058,5,The Poisoned Chalice,ruskin bond,mystery
B0021,BOK_247,6,The Missile Man: APJ Abdul Kalam (Vol. 1),ruskin bond,biography
B0021,B0174,7,Habits of Rain,ruskin bond,self-help
B0021,BOK_104,8,The Silent Witness (Vol. 1),ruskin bond,thriller
B0021,BOK_022,9,The Safe House,ruskin bond,thriller
B0021,BOK_127,10,The Golden Empire,ruskin bond,fantasy
B0022,B0056,1,Shadows in Dreams,rachakonda viswanatha sastriulu,mystery
B0022,B0135,2,Clues to Night,rachakonda viswanatha sastriulu,mystery
B0022,B0220,3,Whispers of Wind,rachakonda viswanatha sastriulu,romance
B0022,B0289,4,Shadows of Rain,rachakonda viswanatha sastriulu,fiction
B0022,B0122,5,Dark Secrets Sun,rachakonda viswanatha sastriulu,thriller
B0022,B0277,6,Final Hour Light,rachakonda viswanatha sastriulu,thriller
B0022,B0197,7,The Riddle Fire,rachakonda viswanatha sastriulu,mystery
B0022,B0239,8,A Thousand Blood,rachakonda viswanatha sastriulu,romance
B0022,B0147,9,The Enchanted Story,rachakonda viswanatha sastriulu,fantasy
B0022,B0064,10,Zero to One Voice,rachakonda viswanatha sastriulu,business
B0023,B0293,1,Deadly Game Light,vivek,thriller
B0023,B0257,2,A Life in Mountain,vivek,biography
B0023,B0251,3,The Ancient Legend,vivek,history
B0023,B0184,4,Realm of Night,vivek,fantasy
B0023,B0237,5,The Art of Heart,vivek,self-help
B0023,B0181,6,Dark Secrets Legend,sandilyan,thriller
B0023,BOK_153,7,The Night Crawler,sandilyan,thriller
B0023,B0063,8,Hidden Truth Wind,jayakanthan,thriller
B0023,B0037,9,The Conspiracy Blood,ramanichandran,thriller
B0023,B0115,10,Dark Secrets Mind,ramanichandran,thriller
B0024,B0017,1,Shadows of Soul,masti venkatesha iyengar,fiction
B0024,B0143,2,Heart of Mountain,masti venkatesha iyengar,romance
B0024,B0270,3,Heart of Fire,masti venkatesha iyengar,romance
B0024,B0225,4,Deadly Game Story,masti venkatesha iyengar,thriller
B0024,B0117,5,Final Hour Path,masti venkatesha iyengar,thriller
B0024,B0271,6,Final Hour Heart,masti venkatesha iyengar,thriller
B0024,B0236,7,The Riddle Rain,masti venkatesha iyengar,mystery
B0024,B0132,8,The Promise Star,masti venkatesha iyengar,romance
B0024,B0198,9,The Dragon Truth,masti venkatesha iyengar,fantasy
B0024,B0160,10,Chronicles of Wind,masti venkatesha iyengar,history
B0025,B0041,1,The Last Silence,yuval noah harari,fiction
B0025,B0255,2,Love in Dreams,yuval noah harari,romance
B0025,BOK_028,3,The Chennai Syndicate,yuval noah harari,thriller
B0025,B0103,4,Mindset for Secret,yuval noah harari,self help
B0025,BOK_163,5,Life in a Metro (Vol. 3),yuval noah harari,fiction
B0025,BOK_080,6,Realm of the Gods (Vol. 1),yuval noah harari,fantasy
B0025,BOK_060,7,A Suitable Match,yuval noah harari,fiction
B0025,BOK_254,8,The Ghost of Shimla (Vol. 1),yuval noah harari,mystery
B0025,BOK_004,9,The Chronicles of Vikramaditya,yuval noah harari,fantasy
B0025,BOK_114,10,The Safe House (Vol. 1),yuval noah harari,thriller
B0026,B0093,1,The Lost Light,james clear,fiction
B0026,B0035,2,Code and Story,james clear,technology
B0026,B0280,3,Unbroken Storm,james clear,biography
B0026,B0127,4,The Wizard Secret,james clear,fantasy
B0026,BOK_188,5,Monsoon Dreams (Vol. 3),james clear,fiction
B0026,BOK_138,6,The Hunt for Red October (Vol. 2),james clear,thriller
B0026,BOK_166,7,The Madurai Murders (Vol. 1),james clear,mystery
B0026,BOK_077,8,Stars in Your Eyes,james clear,romance
B0026,BOK_073,9,The Last Letter (Vol. 2),james clear,fiction
B0026,BOK_298,10,Secrets of the Kaveri (Vol. 3),james clear,mystery
B0027,B0090,1,The Last Mind,kalki krishnamurthy,0
B0027,BOK_003,2,The Inheritance of Loss,kalki r. krishnamurthy,fiction
B0027,BOK_012,3,The Inheritance of Loss (Vol. 2),kalki r. krishnamurthy,fiction
B0027,B0267,4,Hidden Truth Moon,kalki krishnamurthy,thriller
B0027,BOK_164,5,The Last Alibi,kalki r. krishnamurthy,thriller
B0027,B0107,6,Dreams of River,kalki krishnamurthy,0
B0027,BOK_223,7,The Train to Malgudi (Vol. 2),kalki r. krishnamurthy,fiction
B0027,BOK_084,8,Double Cross,kalki r. krishnamurthy,thriller
B0027,BOK_212,9,The Assassin's Mark (Vol. 4),kalki r. krishnamurthy,thriller
B0027,B0153,10,Think and World,kalki krishnamurthy,self-help
B0028,B0062,1,Echoes from Dreams,yandamoori veerendranath,fiction
B0028,B0285,2,Shadows of World,yandamoori veerendranath,fiction
B0028,B0011,3,Clues to Legend,yandamoori veerendranath,mystery
B0028,B0250,4,The Promise Rain,yandamoori veerendranath,romance
B0028,B0112,5,Atomic Moon,yandamoori veerendranath,self help
B0028,BOK_111,6,Echoes of Betrayal (Vol. 2),madhavan,thriller
B0028,BOK_031,7,Blackout,unknown author,thriller
B0028,B0036,8,Dark Secrets Mountain,gudipati venkatachalam,thriller
B0028,BOK_022,9,The Safe House,ruskin bond,thriller
B0028,BOK_179,10,Code of Silence (Vol. 1),jeyamohan,thriller
B0029,B0097,1,Unsolved Moon,m. v. venkatram,mystery
B0029,B0283,2,The Lost Rain,m. v. venkatram,fiction
B0029,B0137,3,Deadly Game Mind,m. v. venkatram,thriller
B0029,B0068,4,The Art of Rain,m. v. venkatram,self help
B0029,B0070,5,Habits of Blood,m. v. venkatram,self-help
B0029,BOK_285,6,Playing It My Way,sandilyan,biography
B0029,B0113,7,A Life in Gold,jayakanthan,biography
B0029,B0299,8,The Making of Rain,subha,biography
B0029,BOK_181,9,Making of a Legend (Vol. 1),anita desai,biography
B0029,B0269,10,The Making of Truth,jayakanthan,biography
B0030,B0264,1,The Digital Gold,durjoy datta,technology
B0030,B0195,2,The Silent Truth,durjoy datta,thriller
B0030,B0189,3,The Ancient Mind,durjoy datta,history
B0030,B0206,4,The Riddle River,durjoy datta,mystery
B0030,B0005,5,Habits of Gold,durjoy datta,self help
B0030,BOK_219,6,Cloud Architectures (Vol. 2),sandilyan,technology
B0030,B0116,7,AI Revolution Path,paulo coelho,technology
B0030,B0088,8,Data and Path,kuvempu,technology
B0030,B0260,9,The Digital Blood,stephen king,technology
B0030,B0035,10,Code and Story,james clear,technology
B0031,B0123,1,Clues to Light,paul zacharia,0
B0031,B0185,2,The Tech Path,paul zacharia,technology
B0031,B0099,3,The Dragon Fire,paul zacharia,fantasy
B0031,B0276,4,Scale Up Moon,vaikom muhammad basheer,business
B0031,B0130,5,The Lean Dusk,u. r. ananthamurthy,business
B0031,B0165,6,Good to Great Sun,m. t. vasudevan nair,business
B0031,B0235,7,Good to Great Storm,amish tripathi,business
B0031,B0065,8,Zero to One Rain,sujatha rangarajan,business
B0031,BOK_126,9,The Corporate Ladder,stephen king,business
B0031,BOK_151,10,The Disruptors,robin sharma,business
B0032,B0009,1,Dark Secrets Night,o. v. vijayan,thriller
B0032,B0054,2,Unsolved Dreams,o. v. vijayan,mystery
B0032,B0106,3,Unbroken Mind,o. v. vijayan,biography
B0032,B0083,4,The Missing Way,o. v. vijayan,mystery
B0032,B0094,5,The Life of Mystery,o. v. vijayan,biography
B0032,B0139,6,The Tech Voice,o. v. vijayan,technology
B0032,BOK_210,7,The Assassin's Mark (Vol. 3),jeyamohan,thriller
B0032,BOK_193,8,Murder on High Street (Vol. 2),kiran desai,thriller
B0032,BOK_226,9,Murder on High Street (Vol. 3),kalki r. krishnamurthy,thriller
B0032,B0019,10,The Silent Rain,kamala das,thriller
B0033,B0100,1,Whispers of Storm,unknown author,romance
B0033,B0039,2,Hidden Truth Mind,unknown author,thriller
B0033,B0055,3,Whispers of Blood,unknown author,romance
B0033,BOK_257,4,Danger Zone (Vol. 1),unknown author,thriller
B0033,B0230,5,Beyond the Dawn,unknown author,fiction
B0033,BOK_297,6,The Last Letter (Vol. 6),unknown author,fiction
B0033,BOK_211,7,The Chennai Syndicate (Vol. 4),unknown author,thriller
B0033,BOK_031,8,Blackout,unknown author,thriller
B0033,BOK_269,9,"Love, Chai, and Everything Nice (Vol. 3)",unknown author,romance
B0033,B0138,10,Echoes from Way,unknown author,fiction
B0034,B0162,1,The Conspiracy Mystery,balakumaran,thriller
B0034,B0183,2,The Conspiracy Gold,balakumaran,thriller
B0034,B0144,3,The Conspiracy Mountain,balakumaran,thriller
B0034,B0232,4,The Art of Storm,balakumaran,self help
B0034,BOK_224,5,Stars in Your Eyes (Vol. 3),r.k. narayan,romance
B0034,BOK_277,6,Love in the Time of Monsoons (Vol. 2),anita desai,romance
B0034,BOK_115,7,The Chennai Express Connection (Vol. 1),r.k. narayan,romance
B0034,BOK_197,8,The Half Girlfriend Journey (Vol. 1),sidney sheldon,romance
B0034,BOK_204,9,Love in the Time of Monsoons (Vol. 1),j.k. rowling,romance
B0034,BOK_286,10,The Half Girlfriend Journey (Vol. 3),j.k. rowling,romance
B0035,B0093,1,The Lost Light,james clear,fiction
B0035,B0280,2,Unbroken Storm,james clear,biography
B0035,B0026,3,The Great Silence,james clear,history
B0035,B0127,4,The Wizard Secret,james clear,fantasy
B0035,BOK_188,5,Monsoon Dreams (Vol. 3),james clear,fiction
B0035,BOK_138,6,The Hunt for Red October (Vol. 2),james clear,thriller
B0035,BOK_166,7,The Madurai Murders (Vol. 1),james clear,mystery
B0035,BOK_077,8,Stars in Your Eyes,james clear,romance
B0035,BOK_073,9,The Last Letter (Vol. 2),james clear,fiction
B0035,BOK_298,10,Secrets of the Kaveri (Vol. 3),james clear,mystery
B0036,B0167,1,The Conspiracy Story,gudipati venkatachalam,thriller
B0036,B0131,2,The Silent Story,gudipati venkatachalam,thriller
B0036,B0134,3,Beyond the Mystery,gudipati venkatachalam,fiction
B0036,B0262,4,The Lost Storm,gudipati venkatachalam,fiction
B0036,B0180,5,Good to Great Wind,gudipati venkatachalam,business
B0036,B0246,6,The Secret of Dusk,gudipati venkatachalam,mystery
B0036,B0047,7,Kingdom of Voice,gudipati venkatachalam,fantasy
B0036,B0007,8,My Journey World,gudipati venkatachalam,biography
B0036,B0190,9,A Life in Dreams,gudipati venkatachalam,biography
B0036,B0254,10,The Life of Sun,gudipati venkatachalam,biography
B0037,B0115,1,Dark Secrets Mind,ramanichandran,thriller
B0037,B0229,2,The Conspiracy World,ramanichandran,thriller
B0037,B0052,3,Heart of Wind,ramanichandran,romance
B0037,B0168,4,The Riddle World,ramanichandran,mystery
B0037,B0248,5,Data and Story,ramanichandran,technology
B0037,B0259,6,Chronicles of Star,ramanichandran,history
B0037,B0092,7,Mindset for Moon,ramanichandran,self help
B0037,B0181,8,Dark Secrets Legend,sandilyan,thriller
B0037,BOK_153,9,The Night Crawler,sandilyan,thriller
B0037,B0063,10,Hidden Truth Wind,jayakanthan,thriller
B0038,B0111,1,Dreams of Secret,kamala das,0
B0038,B0019,2,The Silent Rain,kamala das,thriller
B0038,B0233,3,The Lost Dawn,kamala das,fiction
B0038,B0015,4,The Enchanted Dreams,kamala das,0
B0038,B0154,5,The Missing River,kamala das,mystery
B0038,B0238,6,Realm of Silence,kamala das,fantasy
B0038,B0169,7,Fall of Dreams,kamala das,history
B0038,B0211,8,Habits of River,kamala das,self help
B0038,BOK_265,9,Shadow in the Rain (Vol. 1),ashwin sanghi,thriller
B0038,BOK_210,10,The Assassin's Mark (Vol. 3),jeyamohan,thriller
B0039,BOK_257,1,Danger Zone (Vol. 1),unknown author,thriller
B0039,BOK_211,2,The Chennai Syndicate (Vol. 4),unknown author,thriller
B0039,BOK_031,3,Blackout,unknown author,thriller
B0039,BOK_269,4,"Love, Chai, and Everything Nice (Vol. 3)",unknown author,romance
B0039,B0003,5,Shadows in Wind,unknown author,mystery
B0039,B0230,6,Beyond the Dawn,unknown author,fiction
B0039,B0033,7,The Wizard Wind,unknown author,fantasy
B0039,BOK_297,8,The Last Letter (Vol. 6),unknown author,fiction
B0039,B0138,9,Echoes from Way,unknown author,fiction
B0039,B0059,10,The Power of Blood,unknown author,self-help
B0040,B0243,1,Echoes from Soul,stephen king,fiction
B0040,B0050,2,The Secret of Secret,stephen king,mystery
B0040,B0260,3,The Digital Blood,stephen king,technology
B0040,B0072,4,Echoes from Way,stephen king,fiction
B0040,B0241,5,Dreams of Journey,stephen king,fiction
B0040,BOK_056,6,The Lock and Key,stephen king,mystery
B0040,B0140,7,The Missing Rain,stephen king,mystery
B0040,BOK_053,8,Cold Case Files,stephen king,thriller
B0040,BOK_062,9,Under the Banyan Tree,stephen king,romance
B0040,BOK_126,10,The Corporate Ladder,stephen king,business
B0041,BOK_163,1,Life in a Metro (Vol. 3),yuval noah harari,fiction
B0041,B0255,2,Love in Dreams,yuval noah harari,romance
B0041,BOK_060,3,A Suitable Match,yuval noah harari,fiction
B0041,B0025,4,The Great Truth,yuval noah harari,history
B0041,BOK_028,5,The Chennai Syndicate,yuval noah harari,thriller
B0041,BOK_130,6,Monsoon Dreams (Vol. 2),yuval noah harari,fiction
B0041,B0103,7,Mindset for Secret,yuval noah harari,self help
B0041,BOK_080,8,Realm of the Gods (Vol. 1),yuval noah harari,fantasy
B0041,BOK_254,9,The Ghost of Shimla (Vol. 1),yuval noah harari,mystery
B0041,BOK_004,10,The Chronicles of Vikramaditya,yuval noah harari,fantasy
B0042,B0179,1,Beyond the Storm,kuvempu,fiction
B0042,B0088,2,Data and Path,kuvempu,technology
B0042,B0178,3,Hidden Truth Journey,kuvempu,thriller
B0042,B0075,4,Shadows of Silence,kuvempu,fiction
B0042,B0298,5,Magic of River,kuvempu,fantasy
B0042,B0199,6,Fall of Secret,kuvempu,history
B0042,BOK_289,7,Zero to One Crore (Vol. 1),chetan bhagat,business
B0042,B0130,8,The Lean Dusk,u. r. ananthamurthy,business
B0042,B0114,9,The Lean Night,girish karnad,business
B0042,BOK_126,10,The Corporate Ladder,stephen king,business
B0043,B0278,1,The Silent Star,vikram seth,thriller
B0043,BOK_044,2,The Chennai Syndicate (Vol. 1),vikram seth,thriller
B0043,BOK_250,3,Life in a Metro (Vol. 6),vikram seth,fiction
B0043,BOK_132,4,The Train to Malgudi (Vol. 1),vikram seth,fiction
B0043,BOK_123,5,The Madurai Murders,vikram seth,mystery
B0043,BOK_026,6,The Chronicles of Vikramaditya (Vol. 1),vikram seth,fantasy
B0043,BOK_290,7,Sultans of the South (Vol. 2),vikram seth,history
