transaction_id,user_id,book_id,transaction_type,transaction_date,source,interaction_weight,days_since_interaction
T01590,U0435,B0139,audiobook_rental,2020-05-08,dataset_1,2,2223
T01371,U0367,B0239,paperback_purchase,2020-05-09,dataset_1,5,2222
T01122,U0303,B0119,audiobook_rental,2020-05-09,dataset_1,2,2222
T00824,U0235,B0248,ebook_rental,2020-05-09,dataset_1,3,2222
T00122,U0049,B0061,ebook_rental,2020-05-13,dataset_1,3,2218
T01176,U0312,B0015,audiobook_rental,2020-05-13,dataset_1,2,2218
T00922,U0256,B0224,ebook_rental,2020-05-14,dataset_1,3,2217
T00274,U0091,B0020,ebook_rental,2020-05-14,dataset_1,3,2217
T01333,U0354,B0096,ebook_rental,2020-05-15,dataset_1,3,2216
T01213,U0319,B0238,ebook_rental,2020-05-16,dataset_1,3,2215
T01068,U0290,B0094,ebook_rental,2020-05-17,dataset_1,3,2214
T01261,U0330,B0017,paperback_purchase,2020-05-17,dataset_1,5,2214
T01152,U0310,B0132,paperback_purchase,2020-05-17,dataset_1,5,2214
T00044,U0020,B0079,paperback_purchase,2020-05-18,dataset_1,5,2213
T00369,U0116,B0259,audiobook_rental,2020-05-19,dataset_1,2,2212
T01735,U0470,B0085,ebook_rental,2020-05-23,dataset_1,3,2208
T01477,U0401,B0168,paperback_purchase,2020-05-26,dataset_1,5,2205
T00070,U0029,B0031,ebook_rental,2020-05-27,dataset_1,3,2204
T00227,U0076,B0298,ebook_rental,2020-05-28,dataset_1,3,2203
T01698,U0465,B0170,audiobook_rental,2020-05-28,dataset_1,2,2203
T00106,U0044,B0201,ebook_rental,2020-05-31,dataset_1,3,2200
T01614,U0444,B0172,paperback_purchase,2020-06-01,dataset_1,5,2199
T01621,U0448,B0205,audiobook_rental,2020-06-02,dataset_1,2,2198
T01387,U0372,B0267,ebook_rental,2020-06-02,dataset_1,3,2198
T01355,U0363,B0169,paperback_purchase,2020-06-04,dataset_1,5,2196
T00390,U0124,B0065,ebook_rental,2020-06-05,dataset_1,3,2195
T00205,U0070,B0279,audiobook_rental,2020-06-07,dataset_1,2,2193
T00550,U0165,B0147,paperback_purchase,2020-06-08,dataset_1,5,2192
T01112,U0299,B0012,paperback_purchase,2020-06-08,dataset_1,5,2192
T00166,U0065,B0017,ebook_rental,2020-06-08,dataset_1,3,2192
T00131,U0052,B0230,audiobook_rental,2020-06-10,dataset_1,2,2190
T00610,U0179,B0152,ebook_rental,2020-06-13,dataset_1,3,2187
T01399,U0374,B0067,audiobook_rental,2020-06-16,dataset_1,2,2184
T01695,U0464,B0252,paperback_purchase,2020-06-18,dataset_1,5,2182
T01482,U0403,B0215,ebook_rental,2020-06-18,dataset_1,3,2182
T00660,U0185,B0039,ebook_rental,2020-06-19,dataset_1,3,2181
T01018,U0280,B0262,ebook_rental,2020-06-19,dataset_1,3,2181
T01481,U0403,B0290,paperback_purchase,2020-06-20,dataset_1,5,2180
T01528,U0415,B0133,ebook_rental,2020-06-20,dataset_1,3,2180
T00097,U0038,B0236,paperback_purchase,2020-06-20,dataset_1,5,2180
T00266,U0086,B0075,ebook_rental,2020-06-21,dataset_1,3,2179
T01632,U0450,B0121,ebook_rental,2020-06-21,dataset_1,3,2179
T00124,U0050,B0221,audiobook_rental,2020-06-23,dataset_1,2,2177
T00410,U0128,B0094,paperback_purchase,2020-06-24,dataset_1,5,2176
T00313,U0099,B0085,audiobook_rental,2020-06-24,dataset_1,2,2176
T00581,U0174,B0288,ebook_rental,2020-06-25,dataset_1,3,2175
T00359,U0113,B0144,ebook_rental,2020-06-25,dataset_1,3,2175
T00952,U0265,B0286,ebook_rental,2020-06-26,dataset_1,3,2174
T00180,U0066,B0035,ebook_rental,2020-06-28,dataset_1,3,2172
T01492,U0406,B0156,audiobook_rental,2020-06-30,dataset_1,2,2170
T01452,U0393,B0279,audiobook_rental,2020-06-30,dataset_1,2,2170
T00607,U0178,B0038,ebook_rental,2020-07-04,dataset_1,3,2166
T00593,U0176,B0161,ebook_rental,2020-07-04,dataset_1,3,2166
T01469,U0400,B0254,ebook_rental,2020-07-05,dataset_1,3,2165
T01247,U0327,B0156,ebook_rental,2020-07-08,dataset_1,3,2162
T01287,U0342,B0100,ebook_rental,2020-07-09,dataset_1,3,2161
T01581,U0432,B0042,ebook_rental,2020-07-10,dataset_1,3,2160
T01830,U0497,B0095,paperback_purchase,2020-07-13,dataset_1,5,2157
T00518,U0153,B0267,ebook_rental,2020-07-14,dataset_1,3,2156
T01529,U0415,B0033,paperback_purchase,2020-07-14,dataset_1,5,2156
T00910,U0254,B0280,paperback_purchase,2020-07-14,dataset_1,5,2156
T00509,U0152,B0233,audiobook_rental,2020-07-14,dataset_1,2,2156
T00465,U0143,B0189,audiobook_rental,2020-07-15,dataset_1,2,2155
T01322,U0352,B0226,ebook_rental,2020-07-15,dataset_1,3,2155
T00666,U0188,B0085,audiobook_rental,2020-07-17,dataset_1,2,2153
T00914,U0254,B0019,audiobook_rental,2020-07-17,dataset_1,2,2153
T00171,U0066,B0124,paperback_purchase,2020-07-18,dataset_1,5,2152
T01115,U0301,B0252,paperback_purchase,2020-07-18,dataset_1,5,2152
T01551,U0424,B0169,ebook_rental,2020-07-23,dataset_1,3,2147
T01316,U0350,B0119,paperback_purchase,2020-07-23,dataset_1,5,2147
T01765,U0477,B0064,paperback_purchase,2020-07-24,dataset_1,5,2146
T00071,U0029,B0185,ebook_rental,2020-07-24,dataset_1,3,2146
T00777,U0224,B0011,audiobook_rental,2020-07-25,dataset_1,2,2145
T00129,U0052,B0238,audiobook_rental,2020-07-25,dataset_1,2,2145
T01311,U0350,B0126,paperback_purchase,2020-07-25,dataset_1,5,2145
T00032,U0013,B0169,paperback_purchase,2020-07-25,dataset_1,5,2145
T01172,U0311,B0085,audiobook_rental,2020-07-26,dataset_1,2,2144
T00752,U0216,B0187,ebook_rental,2020-07-26,dataset_1,3,2144
T00084,U0034,B0045,audiobook_rental,2020-07-27,dataset_1,2,2143
T00503,U0152,B0257,audiobook_rental,2020-07-28,dataset_1,2,2142
T01669,U0458,B0103,ebook_rental,2020-07-28,dataset_1,3,2142
T00231,U0078,B0250,paperback_purchase,2020-07-29,dataset_1,5,2141
T01442,U0390,B0230,ebook_rental,2020-07-30,dataset_1,3,2140
T01665,U0458,B0169,ebook_rental,2020-07-30,dataset_1,3,2140
T00181,U0066,B0234,ebook_rental,2020-07-31,dataset_1,3,2139
T00855,U0242,B0179,audiobook_rental,2020-07-31,dataset_1,2,2139
T01635,U0451,B0044,ebook_rental,2020-08-02,dataset_1,3,2137
T00526,U0156,B0144,audiobook_rental,2020-08-03,dataset_1,2,2136
T01054,U0287,B0298,paperback_purchase,2020-08-05,dataset_1,5,2134
T01397,U0373,B0282,ebook_rental,2020-08-06,dataset_1,3,2133
T00323,U0102,B0180,ebook_rental,2020-08-07,dataset_1,3,2132
T00001,U0001,B0097,paperback_purchase,2020-08-07,dataset_1,5,2132
T00204,U0070,B0202,paperback_purchase,2020-08-07,dataset_1,5,2132
T01319,U0351,B0266,paperback_purchase,2020-08-08,dataset_1,5,2131
T01079,U0293,B0131,ebook_rental,2020-08-08,dataset_1,3,2131
T01679,U0461,B0062,ebook_rental,2020-08-08,dataset_1,3,2131
T00603,U0177,B0198,ebook_rental,2020-08-08,dataset_1,3,2131
T01608,U0441,B0110,ebook_rental,2020-08-10,dataset_1,3,2129
T01462,U0395,B0121,ebook_rental,2020-08-10,dataset_1,3,2129
T01539,U0420,B0235,paperback_purchase,2020-08-10,dataset_1,5,2129
T00151,U0060,B0211,paperback_purchase,2020-08-11,dataset_1,5,2128
T00073,U0031,B0008,ebook_rental,2020-08-13,dataset_1,3,2126
T01790,U0487,B0177,paperback_purchase,2020-08-14,dataset_1,5,2125
T00203,U0069,B0267,paperback_purchase,2020-08-15,dataset_1,5,2124
T01005,U0275,B0158,ebook_rental,2020-08-15,dataset_1,3,2124
T00964,U0267,B0102,paperback_purchase,2020-08-16,dataset_1,5,2123
T00486,U0148,B0022,paperback_purchase,2020-08-18,dataset_1,5,2121
T00847,U0239,B0189,ebook_rental,2020-08-19,dataset_1,3,2120
T00398,U0126,B0139,paperback_purchase,2020-08-21,dataset_1,5,2118
T01408,U0374,B0120,ebook_rental,2020-08-22,dataset_1,3,2117
T00184,U0067,B0104,ebook_rental,2020-08-22,dataset_1,3,2117
T00273,U0091,B0184,ebook_rental,2020-08-23,dataset_1,3,2116
T01268,U0335,B0170,ebook_rental,2020-08-24,dataset_1,3,2115
T00594,U0176,B0175,ebook_rental,2020-08-24,dataset_1,3,2115
T01556,U0426,B0135,ebook_rental,2020-08-25,dataset_1,3,2114
T00630,U0182,B0032,ebook_rental,2020-08-25,dataset_1,3,2114
T01208,U0317,B0286,paperback_purchase,2020-08-28,dataset_1,5,2111
T00013,U0009,B0158,ebook_rental,2020-08-31,dataset_1,3,2108
T00249,U0082,B0012,paperback_purchase,2020-09-02,dataset_1,5,2106
T01410,U0376,B0292,audiobook_rental,2020-09-02,dataset_1,2,2106
T00826,U0236,B0060,paperback_purchase,2020-09-03,dataset_1,5,2105
T01119,U0302,B0197,paperback_purchase,2020-09-03,dataset_1,5,2105
T01178,U0312,B0211,ebook_rental,2020-09-04,dataset_1,3,2104
T00635,U0183,B0079,audiobook_rental,2020-09-05,dataset_1,2,2103
T01685,U0461,B0036,ebook_rental,2020-09-06,dataset_1,3,2102
T01500,U0408,B0200,paperback_purchase,2020-09-07,dataset_1,5,2101
T01217,U0319,B0154,ebook_rental,2020-09-08,dataset_1,3,2100
T00396,U0125,B0257,paperback_purchase,2020-09-08,dataset_1,5,2100
T00782,U0225,B0165,ebook_rental,2020-09-09,dataset_1,3,2099
T00079,U0033,B0234,ebook_rental,2020-09-09,dataset_1,3,2099
T00142,U0057,B0180,paperback_purchase,2020-09-10,dataset_1,5,2098
T01812,U0495,B0192,paperback_purchase,2020-09-11,dataset_1,5,2097
T01212,U0319,B0136,paperback_purchase,2020-09-11,dataset_1,5,2097
T00412,U0128,B0123,paperback_purchase,2020-09-11,dataset_1,5,2097
T00809,U0229,B0292,audiobook_rental,2020-09-14,dataset_1,2,2094
T01710,U0466,B0204,ebook_rental,2020-09-15,dataset_1,3,2093
T00016,U0010,B0026,ebook_rental,2020-09-15,dataset_1,3,2093
T00469,U0144,B0155,audiobook_rental,2020-09-15,dataset_1,2,2093
T00545,U0164,B0248,ebook_rental,2020-09-16,dataset_1,3,2092
T00320,U0102,B0253,ebook_rental,2020-09-17,dataset_1,3,2091
T00450,U0141,B0244,ebook_rental,2020-09-18,dataset_1,3,2090
T01772,U0481,B0089,ebook_rental,2020-09-19,dataset_1,3,2089
T00794,U0227,B0212,ebook_rental,2020-09-19,dataset_1,3,2089
T00947,U0263,B0191,audiobook_rental,2020-09-20,dataset_1,2,2088
T00128,U0052,B0230,audiobook_rental,2020-09-22,dataset_1,2,2086
T01758,U0474,B0187,ebook_rental,2020-09-22,dataset_1,3,2086
T01687,U0462,B0022,audiobook_rental,2020-09-22,dataset_1,2,2086
T01781,U0483,B0195,audiobook_rental,2020-09-23,dataset_1,2,2085
T00038,U0018,B0218,audiobook_rental,2020-09-24,dataset_1,2,2084
T00237,U0079,B0149,ebook_rental,2020-09-25,dataset_1,3,2083
T00015,U0009,B0230,audiobook_rental,2020-09-26,dataset_1,2,2082
T00074,U0032,B0079,ebook_rental,2020-09-27,dataset_1,3,2081
T00409,U0128,B0032,ebook_rental,2020-09-27,dataset_1,3,2081
T00718,U0202,B0031,ebook_rental,2020-09-28,dataset_1,3,2080
T01612,U0443,B0128,ebook_rental,2020-09-28,dataset_1,3,2080
T01336,U0355,B0193,audiobook_rental,2020-09-29,dataset_1,2,2079
T00877,U0247,B0179,ebook_rental,2020-09-29,dataset_1,3,2079
T00979,U0270,B0024,audiobook_rental,2020-09-29,dataset_1,2,2079
T00054,U0021,B0231,audiobook_rental,2020-09-29,dataset_1,2,2079
T01537,U0418,B0109,ebook_rental,2020-10-01,dataset_1,3,2077
T01405,U0374,B0002,ebook_rental,2020-10-05,dataset_1,3,2073
T01396,U0373,B0154,audiobook_rental,2020-10-07,dataset_1,2,2071
T01789,U0486,B0103,ebook_rental,2020-10-07,dataset_1,3,2071
T00477,U0145,B0194,paperback_purchase,2020-10-07,dataset_1,5,2071
T01737,U0470,B0153,paperback_purchase,2020-10-10,dataset_1,5,2068
T00315,U0099,B0085,ebook_rental,2020-10-10,dataset_1,3,2068
T00214,U0072,B0031,ebook_rental,2020-10-10,dataset_1,3,2068
T01691,U0464,B0202,audiobook_rental,2020-10-10,dataset_1,2,2068
T00905,U0254,B0027,ebook_rental,2020-10-10,dataset_1,3,2068
T01505,U0410,B0122,paperback_purchase,2020-10-16,dataset_1,5,2062
T00081,U0034,B0249,audiobook_rental,2020-10-17,dataset_1,2,2061
T00335,U0106,B0232,paperback_purchase,2020-10-17,dataset_1,5,2061
T00694,U0198,B0146,audiobook_rental,2020-10-17,dataset_1,2,2061
T00966,U0268,B0146,paperback_purchase,2020-10-20,dataset_1,5,2058
T00460,U0142,B0222,ebook_rental,2020-10-20,dataset_1,3,2058
T00975,U0269,B0269,paperback_purchase,2020-10-21,dataset_1,5,2057
T01704,U0465,B0297,ebook_rental,2020-10-22,dataset_1,3,2056
T00899,U0251,B0190,paperback_purchase,2020-10-22,dataset_1,5,2056
T00973,U0269,B0290,paperback_purchase,2020-10-22,dataset_1,5,2056
T01188,U0313,B0277,paperback_purchase,2020-10-24,dataset_1,5,2054
T00228,U0077,B0136,ebook_rental,2020-10-24,dataset_1,3,2054
T00881,U0247,B0084,paperback_purchase,2020-10-24,dataset_1,5,2054
T01211,U0318,B0197,paperback_purchase,2020-10-26,dataset_1,5,2052
T01831,U0497,B0030,paperback_purchase,2020-10-27,dataset_1,5,2051
T00644,U0184,B0019,paperback_purchase,2020-10-27,dataset_1,5,2051
T00702,U0199,B0141,ebook_rental,2020-10-27,dataset_1,3,2051
T00263,U0085,B0138,audiobook_rental,2020-10-28,dataset_1,2,2050
T01182,U0313,B0011,ebook_rental,2020-10-28,dataset_1,3,2050
T01328,U0353,B0190,audiobook_rental,2020-10-29,dataset_1,2,2049
T00291,U0093,B0280,ebook_rental,2020-10-29,dataset_1,3,2049
T00066,U0029,B0172,paperback_purchase,2020-10-30,dataset_1,5,2048
T01340,U0358,B0026,ebook_rental,2020-10-30,dataset_1,3,2048
T01821,U0495,B0101,audiobook_rental,2020-10-31,dataset_1,2,2047
T01434,U0386,B0299,ebook_rental,2020-11-01,dataset_1,3,2046
T01050,U0287,B0286,paperback_purchase,2020-11-02,dataset_1,5,2045
T00109,U0046,B0089,ebook_rental,2020-11-02,dataset_1,3,2045
T00633,U0183,B0021,ebook_rental,2020-11-03,dataset_1,3,2044
T00087,U0035,B0104,ebook_rental,2020-11-03,dataset_1,3,2044
T00710,U0200,B0191,ebook_rental,2020-11-03,dataset_1,3,2044
T00987,U0270,B0044,ebook_rental,2020-11-04,dataset_1,3,2043
T01049,U0287,B0108,paperback_purchase,2020-11-05,dataset_1,5,2042
T00657,U0185,B0037,ebook_rental,2020-11-06,dataset_1,3,2041
T01094,U0298,B0118,paperback_purchase,2020-11-08,dataset_1,5,2039
T00958,U0267,B0290,paperback_purchase,2020-11-08,dataset_1,5,2039
T00776,U0224,B0023,audiobook_rental,2020-11-08,dataset_1,2,2039
T01285,U0340,B0164,paperback_purchase,2020-11-10,dataset_1,5,2037
T00845,U0239,B0254,paperback_purchase,2020-11-10,dataset_1,5,2037
T00148,U0060,B0058,ebook_rental,2020-11-12,dataset_1,3,2035
T00078,U0033,B0285,paperback_purchase,2020-11-12,dataset_1,5,2035
T01327,U0353,B0134,audiobook_rental,2020-11-13,dataset_1,2,2034
T00920,U0256,B0174,audiobook_rental,2020-11-13,dataset_1,2,2034
T00065,U0029,B0038,paperback_purchase,2020-11-14,dataset_1,5,2033
T01023,U0280,B0078,ebook_rental,2020-11-15,dataset_1,3,2032
T00803,U0228,B0116,ebook_rental,2020-11-19,dataset_1,3,2028
T00997,U0274,B0182,audiobook_rental,2020-11-20,dataset_1,2,2027
T00597,U0177,B0130,ebook_rental,2020-11-21,dataset_1,3,2026
T01713,U0466,B0237,ebook_rental,2020-11-23,dataset_1,3,2024
T01426,U0381,B0029,audiobook_rental,2020-11-24,dataset_1,2,2023
T01834,U0497,B0287,ebook_rental,2020-11-25,dataset_1,3,2022
T00627,U0182,B0247,ebook_rental,2020-11-25,dataset_1,3,2022
T00527,U0156,B0009,ebook_rental,2020-11-27,dataset_1,3,2020
T00817,U0232,B0209,paperback_purchase,2020-11-27,dataset_1,5,2020
T00408,U0128,B0111,audiobook_rental,2020-11-28,dataset_1,2,2019
T00996,U0274,B0001,ebook_rental,2020-11-30,dataset_1,3,2017
T00535,U0158,B0284,audiobook_rental,2020-12-02,dataset_1,2,2015
T00549,U0164,B0276,ebook_rental,2020-12-03,dataset_1,3,2014
T00048,U0021,B0073,audiobook_rental,2020-12-04,dataset_1,2,2013
T01826,U0497,B0035,paperback_purchase,2020-12-04,dataset_1,5,2013
T00677,U0190,B0226,ebook_rental,2020-12-06,dataset_1,3,2011
T01727,U0467,B0169,paperback_purchase,2020-12-07,dataset_1,5,2010
T00872,U0245,B0173,ebook_rental,2020-12-11,dataset_1,3,2006
T01362,U0365,B0185,ebook_rental,2020-12-12,dataset_1,3,2005
T00279,U0091,B0207,paperback_purchase,2020-12-14,dataset_1,5,2003
T01461,U0395,B0183,ebook_rental,2020-12-16,dataset_1,3,2001
T01623,U0448,B0004,paperback_purchase,2020-12-17,dataset_1,5,2000
T01466,U0398,B0120,ebook_rental,2020-12-18,dataset_1,3,1999
T00797,U0228,B0057,ebook_rental,2020-12-19,dataset_1,3,1998
T00578,U0174,B0129,ebook_rental,2020-12-20,dataset_1,3,1997
T00567,U0171,B0034,paperback_purchase,2020-12-21,dataset_1,5,1996
T01133,U0307,B0230,ebook_rental,2020-12-22,dataset_1,3,1995
T01167,U0311,B0166,paperback_purchase,2020-12-22,dataset_1,5,1995
T01800,U0489,B0080,ebook_rental,2020-12-24,dataset_1,3,1993
T01124,U0303,B0027,audiobook_rental,2020-12-24,dataset_1,2,1993
T01570,U0431,B0031,ebook_rental,2020-12-24,dataset_1,3,1993
T00680,U0192,B0271,audiobook_rental,2020-12-24,dataset_1,2,1993
T01721,U0467,B0160,audiobook_rental,2020-12-25,dataset_1,2,1992
T01488,U0403,B0004,audiobook_rental,2020-12-25,dataset_1,2,1992
T00061,U0027,B0069,ebook_rental,2020-12-27,dataset_1,3,1990
T01004,U0275,B0203,ebook_rental,2020-12-28,dataset_1,3,1989
T00941,U0263,B0110,audiobook_rental,2020-12-28,dataset_1,2,1989
T01626,U0449,B0245,ebook_rental,2020-12-28,dataset_1,3,1989
T00915,U0255,B0122,ebook_rental,2020-12-28,dataset_1,3,1989
T01084,U0295,B0128,ebook_rental,2020-12-30,dataset_1,3,1987
T01694,U0464,B0280,ebook_rental,2020-12-30,dataset_1,3,1987
